,artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
33,Sasha 23,0mmFibEg5NuULMwTVN2tRU,Shuffle - Original mix,7.69e-05,0.81,148016,0.948,0.894,10,0.0509,-9.367,0,0.0569,119.988,4,0.754,0
34,Zytrex,01qc7HHvJdcNviyizhuCSI,Bordering - Original mix,0.0108,0.807,124016,0.615,0.918,4,0.0812,-11.519,0,0.111,120.006,4,0.603,0
35,Zeus Whey,3ejMaQNGpxUWpFxik74rfH,Stool - Original mix,3.2200000000000003e-05,0.7929999999999999,124016,0.5379999999999999,0.8270000000000001,7,0.0569,-9.82,1,0.0744,119.99,3,0.5920000000000001,0
36,Mamuton,1jFL774GMnBl5Esa9SN4rL,Mamut - Original mix,5.11e-05,0.812,124016,0.511,0.907,5,0.0618,-10.903,0,0.0927,119.987,4,0.618,0
37,Gladiator Osman,2FLJcyNuD454zGjSLf6uOk,Bulk - Original mix,4.36e-05,0.809,124016,0.604,0.923,1,0.0524,-10.482,1,0.0874,120.046,4,0.713,0
38,Curbo,4oBCrYdTrcBPouBzRAO95u,Tuesday,0.00295,0.8079999999999999,124893,0.53,0.494,11,0.108,-10.356,0,0.0503,122.995,4,0.7440000000000001,0
39,Electrofanatik,3zudm51wD90h7X7gncfhay,Dong,0.00025,0.812,124944,0.778,0.865,6,0.0975,-8.429,1,0.0458,123.05,4,0.6829999999999999,0
40,Dan Thomas,7G8Qj5uNs9XShNtHJpFNTj,Beb,0.0958,0.5479999999999999,127485,0.722,0.8590000000000001,9,0.16899999999999998,-10.046,0,0.0335,122.585,4,0.746,0
41,Mr Little Jeans,3Z78Hd9B1OndIo7XJajwYR,Forgetter,0.125,0.821,254122,0.512,0.00703,5,0.0879,-7.138,0,0.0596,128.035,4,0.5429999999999999,28
42,Orjan Nilsen,16UKw34UY9w40Vc7TOkPpA,Nothing Here But Love,0.0448,0.574,189467,0.8809999999999999,0.0,5,0.0756,-2.15,0,0.166,126.131,4,0.551,29
43,ANNA-NO,6GYRW61K0Rd5kdrW62sb2d,Week - Original mix,0.00117,0.8540000000000001,132742,0.741,0.863,9,0.0727,-8.298,1,0.149,124.027,4,0.911,0
44,Mbo Mentho,3PmPdmHHlDylHFW8yF5f8H,Reledaus,0.409,0.574,171000,0.463,0.000264,11,0.118,-23.058000000000003,0,0.0499,159.988,4,0.993,0
45,Burbank,7AgDITo8BVDoh2bXj2psYA,Waiting for U,0.8320000000000001,0.6990000000000001,168000,0.309,0.171,4,0.116,-10.79,1,0.159,79.991,4,0.422,31
46,PJ Lucid,1I8s0BRa9QnrlAKmSuNEM3,Martyr Luther King,0.209,0.7090000000000001,184546,0.5760000000000001,2.66e-06,9,0.152,-8.727,1,0.4270000000000001,78.706,4,0.318,41
47,Messiah,3NXnKCNwFNk6xVYEZE2Tmu,Bien De To,0.13,0.5720000000000001,186566,0.867,0.0,5,0.321,-6.148,0,0.386,88.148,5,0.376,22
48,Betty Who,0Hd2n9oE0n4szD6mzrvcV4,Friend Like Me,0.925,0.611,217466,0.238,3.91e-06,11,0.123,-11.93,1,0.0356,122.047,4,0.248,44
49,Your Smith,5Y7DSov75Ic5viePFoD0WX,The Spot,0.0617,0.935,171383,0.7559999999999999,7.6e-06,4,0.12,-6.957000000000002,1,0.084,112.045,4,0.961,48
50,Snow Patrol,0aYzQjr1hq0qJwp45diy5M,Heal Me,0.122,0.552,241160,0.789,4.98e-06,9,0.0874,-5.449,1,0.0242,93.938,4,0.349,53
51,Dirty Projectors,7B1he5MaIXjreL2R4qOa6h,Blue Bird,0.52,0.53,229333,0.521,0.0289,8,0.209,-7.939,0,0.152,117.259,3,0.529,37
52,Money Man,7d2RGG3rRRex2lG8LlEHYo,Bday Cake,0.00593,0.867,109056,0.517,0.0,2,0.131,-10.482,1,0.253,130.033,4,0.179,15
53,Code Orange,2XhJpVPyqhDU0EPDAIBpwe,The Hunt (feat. Corey Taylor),2.62e-05,0.121,226906,0.982,0.0187,6,0.6409999999999999,-0.447,1,0.135,75.075,4,0.228,44
54,Demun Jones,0RS401jpQlguNb7ozzpri3,Sound on the Water,0.157,0.6859999999999999,210005,0.873,3.1e-06,9,0.15,-4.721,1,0.245,90.01299999999998,4,0.386,40
55,Tabi Bonney,4NoBWcboBPNVI9Lf7e3ihA,Faded,0.00432,0.858,217371,0.698,0.377,0,0.18,-8.124,1,0.16,122.999,4,0.7340000000000001,15
56,Trevor Hall,5iz6oTqd2Xu0FLdTwom6mK,Free,0.774,0.523,258255,0.615,2.01e-05,0,0.365,-8.136000000000001,1,0.0361,95.087,4,0.637,42
57,Lake Street Dive,5eyPkSDWFQNnnkZhFfE6Yo,Good Kisser - Recorded at Spotify Studios NYC,0.16699999999999998,0.57,245596,0.556,0.0,10,0.0868,-8.139,1,0.0894,158.153,4,0.691,38
58,UNB,4SiGRgJVUUDpMbW6LxJRCH,BLACK HEART,0.0198,0.713,185969,0.937,0.0,5,0.57,-2.107,1,0.131,125.969,4,0.728,47
59,Dominion,2YWgPHZSzjfkh2dPsEuaTm,Balenciaga,0.0393,0.7509999999999999,223000,0.512,3.2899999999999987e-05,11,0.267,-6.789,0,0.056,160.016,4,0.335,2
60,Lecrae,1FYd1szE0RHXOAM00V4MEx,Coming In Hot,0.0271,0.89,200168,0.454,3.58e-06,8,0.157,-8.777000000000001,1,0.26,140.041,4,0.425,70
61,Preme,3E2UVESx8PxFMbxrnIsJrZ,No Exit,0.5579999999999999,0.446,211304,0.383,0.00214,1,0.111,-10.309,1,0.0647,74.953,3,0.0585,0
62,Kiana Ledé,2PQVLVJ1J57t7uQO4Y2Mzq,Fairplay (feat. ASAP Ferg) - Remix,0.539,0.733,167920,0.489,0.00019,8,0.102,-9.538,1,0.306,139.94899999999998,4,0.6890000000000001,2
63,Southside,7H4KuOHwoKEgPla1yHhq1N,Some Nights,0.0978,0.404,198553,0.926,0.0,4,0.102,-4.9860000000000015,0,0.7340000000000001,85.96,4,0.211,30
64,Loote,6bVIL7Jn0hHto1WftJ2VxU,Longer Than I Thought,0.0922,0.75,215867,0.715,8.86e-06,9,0.395,-5.872999999999998,1,0.101,117.989,4,0.333,4
65,Sleeping At Last,0aNAiwG9kCxFKCJVbo6B1J,"July 27, 2018: Total Lunar Eclipse",0.927,0.336,102570,0.294,0.968,8,0.0965,-15.374,1,0.033,141.452,4,0.156,37
66,Xavier Wulf,1QozDHVFxNin5IQvFG7HZ8,Homecoming (feat. Bankroll Rico),0.239,0.914,184130,0.565,0.0,9,0.101,-5.1,1,0.389,133.02100000000002,4,0.6809999999999999,42
67,Xavier Wulf,6WclEbHlipCKMaPsG8Ii1k,Eastside Sliding (feat. idontknowjeffery & Chris Travis),0.00361,0.942,152655,0.736,0.0,2,0.106,-6.058,1,0.268,140.025,4,0.833,43
68,Armin van Buuren,5DmhuZg7dwVaA0XUlxxVVu,Our Origin (ASOT 874) [Tune Of The Week],0.000129,0.3720000000000001,440952,0.813,0.937,9,0.289,-11.142,0,0.0327,131.999,4,0.118,27
69,Beatsole,3Rx1zM3nDFQzAOYg9Hd0D4,Shanti (ASOT 874),0.000215,0.435,277098,0.7959999999999999,0.887,2,0.407,-12.252,1,0.0687,132.049,4,0.106,31
70,Ferry Corsten,6F5J2WFkygpTK89V7ovVB1,I Love You (ASOT 874),3.55e-05,0.489,172244,0.932,0.125,2,0.294,-10.371,1,0.0432,132.003,4,0.62,23
71,Audien,6cVeUZciqheFBEaJ4haQdJ,Higher (ASOT 874),0.000426,0.441,151900,0.472,0.0019,6,0.115,-12.172,0,0.0363,131.964,4,0.0655,20
72,Elevven,74pdubLPY21sp8poN4Jxoi,Heartbeat Tonight (ASOT 874) [Progressive Pick],8.96e-05,0.483,237556,0.743,0.0020800000000000003,6,0.11,-10.563,0,0.097,132.01,4,0.102,18
73,Denis Kenzo,0ehIsKEuHfqMLo4Z06ghys,Sweet Lie (ASOT 874) [Future Favorite],0.0458,0.376,245710,0.616,3.55e-06,1,0.502,-12.556,0,0.045,131.996,4,0.122,22
74,ARTY,6PqVd4RkjnOTroZI6C4WW0,Tim (ASOT 874),9.97e-05,0.165,216960,0.8390000000000001,0.903,4,0.201,-11.005999999999998,1,0.0344,128.076,4,0.326,21
75,Davey Asprey,0bh4eFCAXeWDaFBr2aHtuP,Azile (ASOT 874),0.0226,0.361,117170,0.551,0.92,3,0.613,-12.575,1,0.0382,135.063,4,0.446,19
76,ARTY,7915iolh0QvdpvSIiAj3h4,Rain (ASOT 874),0.000128,0.368,202570,0.644,0.0654,10,0.195,-10.883,1,0.0368,127.808,4,0.0694,19
77,ARTY,1F71wFfIO5MMcD5YRIgAi8,Sunrise (ASOT 874),0.00185,0.274,191780,0.404,0.00319,0,0.232,-11.174,1,0.0354,127.805,4,0.22,19
78,Neffex,2yB5GBaK8C2zsKLlHV4ND3,Climb,0.039,0.775,144000,0.685,0.0,5,0.0725,-7.552,1,0.369,140.142,4,0.949,41
79,Armin van Buuren,6clAqlVyqTibiYdZENHbg9,"A State Of Trance (ASOT 874) - Track Recap, Pt. 1",0.112,0.516,31720,0.685,0.0,6,0.369,-10.207,0,0.241,91.191,3,0.821,14
80,Armin van Buuren,3wEVmwMEPENPXaWgW2hAyR,"A State Of Trance (ASOT 874) - Track Recap, Pt. 2",0.116,0.5920000000000001,35060,0.6759999999999999,0.0,6,0.552,-10.949000000000002,0,0.365,64.03699999999999,3,0.725,14
81,Armin van Buuren,7ETDWSQx083kZ1oybLDGzS,"A State Of Trance (ASOT 874) - Track Recap, Pt. 3",0.0306,0.489,50700,0.599,0.0,11,0.328,-10.637,0,0.27,135.446,5,0.599,13
82,Armin van Buuren,08RRNkA508ClDTE0QYqDYn,A State Of Trance (ASOT 874) - ASOT Live From Tommorowland 2018 Announcement,0.0879,0.527,35990,0.757,0.0,4,0.454,-10.241,0,0.298,67.01899999999999,3,0.953,14
83,Armin van Buuren,7frbTr9qYVdeXjUUC6HwOj,"A State Of Trance (ASOT 874) - Coming Up, Pt. 3",0.151,0.5379999999999999,49120,0.858,0.0,8,0.14400000000000002,-11.037,1,0.16,132.088,4,0.703,14
84,Vincent de Moor,6CHzMqs0evRZb9bczFWnyM,Fly Away (ASOT 874) - KhoMha Remix,0.000195,0.471,191930,0.888,0.893,1,0.688,-11.833,1,0.0519,130.07399999999998,4,0.304,18
85,Rub!k,1h8QJnnfhkpGDq1wLw6Wa9,Breathe Deep (ASOT 874),0.00412,0.448,195750,0.738,0.911,11,0.269,-11.675999999999998,1,0.0773,130.058,4,0.109,16
86,Xavier Wulf,753SBYPEiJG9wTkXBSgMce,Wake Walker,0.16899999999999998,0.8320000000000001,133349,0.457,2.94e-05,1,0.133,-10.623,1,0.172,130.026,4,0.227,39
87,Gareth Emery,0gP7v27ftkscMDsg8LblW1,Saving Light (ASOT 874) [Service For Dreamers],0.000295,0.269,251700,0.5660000000000001,0.0707,4,0.502,-11.095999999999998,0,0.0429,131.863,4,0.0587,18
88,Armin van Buuren,69LlMR6xB0ZzWMd8JfPmed,"A State Of Trance (ASOT 874) - Coming Up, Pt. 2",0.18,0.453,41565,0.507,0.0,7,0.836,-12.69,1,0.303,111.266,4,0.536,16
89,Fatum,55gqdKiMHGSZ2vyyL8HMAs,Petra (ASOT 874),0.00172,0.239,107120,0.657,0.971,6,0.126,-11.322,1,0.0754,129.747,4,0.146,15
90,Alex Sonata,7vbF57ErhjDbuyrNoq24K0,I'll Be Your Light (ASOT 874),0.00564,0.299,227240,0.6409999999999999,0.000987,0,0.705,-11.93,0,0.0519,132.014,4,0.126,32
91,Armin van Buuren,0P2U58g8RHQ51exzBZglwu,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 1",0.242,0.551,34900,0.551,0.0,1,0.716,-10.970999999999998,1,0.81,172.205,5,0.759,12
92,Specific Slice,15XCwvNmzx7NhUmHWwvYEV,Inception (ASOT 874),0.00019,0.395,298810,0.8590000000000001,0.384,1,0.733,-11.906,1,0.095,131.68200000000002,4,0.251,14
93,Andy Moor,7BOPIDwfcZxrijQsmmIJNm,There Is Light (ASOT 874) - A.R.D.I. Remix,0.00017,0.454,252150,0.966,0.715,0,0.477,-11.679,0,0.24,137.035,4,0.0536,16
94,Xavier Wulf,2vHpodBjzmquS1otuCN9Ra,A Day's Routine - Interlude,0.0025,0.6509999999999999,137179,0.857,0.493,1,0.115,-7.6720000000000015,0,0.0609,169.97,5,0.139,37
95,Armin van Buuren,4b015GCZ0TsIGAx5NpDs7I,"A State Of Trance (ASOT 874) - Coming Up, Pt. 1",0.0198,0.46,31224,0.662,0.0,2,0.299,-10.579,1,0.333,132.468,4,0.706,16
96,Armin van Buuren,38OiUD6l3Tm1jgSLGC9GNH,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 2",0.236,0.657,31110,0.471,0.0,9,0.862,-10.784,1,0.404,77.584,3,0.867,12
97,Hamzeh,5BCnkUBpOza5RMvAc7hhhW,Frostbite (ASOT 874),0.007759999999999999,0.433,176070,0.787,0.883,8,0.39,-11.765,1,0.0378,133.515,4,0.214,14
98,MaRLo,6d4kE5Kz6ZD4XNrItzdG2m,Haunted (ASOT 874) - Avao Remix,0.000977,0.499,243540,0.722,0.515,7,0.331,-11.55,1,0.0429,136.174,4,0.0844,17
99,Armin van Buuren,3VxbUOrzirMCahEIsA1d6V,A State Of Trance (ASOT 874) - Intro,0.0027600000000000003,0.29100000000000004,31315,0.905,0.0,2,0.369,-10.378,1,0.165,134.22299999999998,1,0.341,17
